book_id,studio,total_score,reasoning,book_summary,genre_fit_score,genre_fit_reasoning,visual_story_adaptability_score,visual_story_adaptability_reasoning,audience_fit_score,audience_fit_reasoning,franchise_potential_score,franchise_potential_reasoning,budget_scale_fit_score,budget_scale_fit_reasoning,name_recognition_score,name_recognition_reasoning
the-living-thoughts-of-mazzini__mazzini-giuseppe__unk,A24,10.5,"This philosophical essay collection is fundamentally misaligned with the noir thriller mandate, lacking narrative drama, visual adaptability, and commercial appeal.","Not confidently recognized. ""The Living Thoughts of Mazzini"" appears to be a 19th-century philosophical/political essay or collection by or about Giuseppe Mazzini, the Italian nationalist and political theorist, rather than a narrative thriller with plot and characters.",5,"This is a political/philosophical essay collection, not a noir thriller with narrative plot.",10,Political philosophy texts lack the cinematic narrative structure and dark visual language noir requires.,15,19th-century political theory has minimal appeal to A24's core 18-34 cinephile demographic seeking insider character drama.,5,An essay collection offers no narrative foundation for sequels or world-building around an investigation plot.,20,Adapting philosophy essays into a contained small-town thriller would require substantial invention beyond source material.,25,Giuseppe Mazzini is historically significant but little-known to modern general audiences; the specific essay title is obscure.
tales-of-two-countries__kielland-alexander__unk,A24,18.75,"This obscure 19th-century work lacks sufficient verifiable plot/thematic information to credibly score against the noir thriller mandate, and faces significant name-recognition barriers for A24 audience.","Not confidently recognized. ""Tales of Two Countries"" by Alexander Kielland is not a widely known title in English-language literary canon, and without verified plot/thematic information, I cannot reliably assess its fit against the mandate.",25,Cannot reliably assess noir thriller fit without confirmed knowledge of the book's actual genre and tone.,20,"Without knowing the book's narrative structure and tone, cannot assess cinematic darkness or visual adaptability.",15,Cannot evaluate whether an unrecognized 19th-century Norwegian work's characters/themes would resonate with A24's urban cinephile demographic.,10,Insufficient plot knowledge to assess sequel/world-building potential from an 'uncovering' narrative arc.,30,"A historical work with unknown setting scope is difficult to budget-project, though small-town framing suggests contained scale.",5,Alexander Kielland is a 19th-century Norwegian author with minimal recognition in mainstream English-language popular culture.
death-comes-for-the-archbishop__cather-willa__1732,A24,32.0,"Strong period/small-town setting fit and modest budget profile, but fundamentally misaligned as a dark noir thriller—this is introspective spiritual historical fiction without mystery, crime, or the psychological tension A24's audience expects.","A spiritual historical novel following Bishop Jean Marie Latour as he travels from Ohio to New Mexico to establish the Catholic church in the newly annexed territory, chronicling his decades-long work to spread faith and build institutional presence among a skeptical frontier population. The narrative is introspective and meditative rather than plot-driven, focusing on themes of faith, cultural clash, and personal legacy.",15,"This is literary historical fiction with philosophical themes, not a noir thriller with crime/mystery at its core.",50,"The sweeping Western landscape and period details offer visual richness, but the introspective, meditative tone lacks the dark, tense cinematography noir requires.",25,"A24's core 18-34 cinephile audience typically gravitates toward character-driven psychological tension, not religious institutional narratives about spiritual conviction and acceptance.",20,"The arc is essentially one man's life trajectory of gradual institutional building with no mystery to uncover, making sequel/spin-off potential very limited.",65,"A contained period piece set in small-town New Mexico with modest cast and scope fits A24's budget range, though period detail may require some investment.",45,"Willa Cather is a canonical American author, and this is her most famous novel, but it's primarily known in literary circles rather than mainstream culture."
werke-in-einem-band__eichendorff-joseph-von__unk,A24,20.5,This is a collected works edition by a 19th-century Romantic author—fundamentally misaligned with A24's dark noir thriller mandate and far too obscure for general audience appeal.,"Not confidently recognized. ""Werke in einem Band"" (""Works in One Volume"") is a German title indicating a collected edition; combined with the publication year discrepancy noted (1951 vs. author's 1857 death), this appears to be a modern compilation or collected works rather than a single identifiable novel. Without knowing which specific works by Eichendorff are included, I cannot confidently assess the book's actual plot, genre, or themes.",15,"Eichendorff was primarily a Romantic poet and short-story writer, not known for noir thrillers, making genre alignment unlikely.",25,"Romantic-era German literature tends toward lyricism and introspection rather than visual, cinematic dark narratives.",20,19th-century German Romantic works lack the contemporary insider/urban sensibility that resonates with A24's core 18-34 cinephile audience.,10,A collected edition of historical Romantic works offers minimal sequel or world-building potential around an 'uncovering' action.,40,"Small-town or rural German Romantic settings could be filmed modestly, but the material itself doesn't naturally suit A24's thriller mandate at any budget.",30,"Eichendorff is known to German literature scholars and some educated audiences, but this collected edition title is obscure to general/A24 audiences."
wesen-des-christenthums__feuerbach-ludwig__1854,A24,6.9,This 19th-century philosophical treatise is fundamentally mismatched to a noir thriller mandate and lacks any narrative or cinematic foundation for A24 adaptation.,"Not confidently recognized as a work of fiction. ""The Essence of Christianity"" (1854) by Ludwig Feuerbach is a philosophical treatise critiquing Christian theology and arguing that God is a human projection, not a plot-driven narrative work.",5,"This is philosophy/theology, not noir thriller fiction.",8,Abstract philosophical arguments lack inherent narrative arc or visual cinematic material.,3,Dense 19th-century ideological critique holds no appeal for A24's cinephile 18-34 demographic seeking character-driven drama.,2,"A philosophical text offers no world-building, plot complications, or sequel-friendly discovery narrative.",15,"Small-town setting potential exists only if one forced a fictional adaptation, but the source material itself has no spatial setting.",25,"Feuerbach is known to philosophy/theology scholars and literary historians, but the general audience largely unfamiliar."
a-history-of-new-york__irving-washington__1800,A24,18.75,This classic American satire is fundamentally misaligned with the noir thriller mandate—a comedic period piece about colonial New York has no dark conspiracy or insider-uncovering plot.,"Washington Irving's satirical mock-history of New York (first published 1809 under a pseudonym), a comedic chronicle of the city's early colonial and Dutch settlement periods rather than actual history—primarily a work of humorous social satire, not noir thriller material.",5,A comedic satire with no noir thriller elements whatsoever.,25,"While the picaresque Dutch colonial world offers visual richness, the book's strength is in verbose humor and wordplay, not dark cinematic mood.",15,"The character archetypes are colonial-era buffoons and caricatures, not the insider protagonist A24's core 18-34 audience expects.",10,"A static satirical chronicle with no uncovering mystery, conspiracy, or world-building momentum for sequels.",40,"A small-town colonial setting is naturally contained, but period production design and ensemble cast would push toward the upper budget range.",60,"Washington Irving is a canonical American author and 'A History of New York' is his most famous work, though the title is more recognized than widely read by modern audiences."
nienasycenie__witkiewicz-stanisaw-ignacy__unk,A24,22.25,"Nienasycenie is fundamentally mismatched to the noir-thriller mandate; it's an avant-garde philosophical work that would require radical reinterpretation rather than adaptation, making it a poor fit for A24's genre and commercial priorities despite niche arthouse appeal.","Nienasycenie (Insatiability) is a metaphysical philosophical novel by Polish avant-garde writer Stanisław Ignacy Witkiewicz, published in 1930, dealing with existential alienation, moral decay, and the decline of civilization through the experiences of a wealthy protagonist in a decadent society. Not a noir thriller in the conventional sense, but rather an experimental, surrealist exploration of inner psychological states and societal breakdown.",15,"This is avant-garde philosophical fiction, not a noir thriller; the mandate's genre requirements are fundamentally misaligned with the book's experimental, surrealist nature.",35,"While Witkiewicz's surrealist vision could yield striking visuals, the book's interior psychological focus and abstract themes resist the dark, concrete noir aesthetic A24 would need.",25,"A24's 18-34 cinephile audience might appreciate arthouse adaptation, but the protagonist is a detached aristocrat rather than a relatable insider, and the narrative is abstract rather than plot-driven.",10,The novel is philosophically self-contained with no sequel infrastructure or procedural 'uncovering' narrative that could sustain a franchise.,40,"A small-town noir could be contained, but this decadent European novel would demand period/production design investment beyond a lean A24 indie budget.",20,"Witkiewicz is known in literary and Eastern European circles, but the general English-speaking audience has minimal familiarity with this title."
autobiography-of-andrew-carnegie__carnegie-andrew__unk,A24,17.75,"This non-fiction memoir is fundamentally misaligned with the noir thriller mandate; it's a celebrated life story, not a dark investigative narrative.","Andrew Carnegie's autobiography is a non-fiction memoir documenting his life from poverty in Scotland through his rise as a steel magnate and philanthropist in America. It is a biographical/inspirational work focused on business history and personal achievement, not a noir thriller.",5,"Autobiography is fundamentally non-fiction and biographical, almost entirely incompatible with noir thriller expectations.",15,"While a life story can be dramatized, the inherently optimistic rags-to-riches narrative lacks the dark, morally ambiguous tone required for noir.",20,"A24's cinephile audience may appreciate prestige biography, but the 'insider uncovering' character archetype doesn't fit a self-congratulatory memoir format.",10,A completed life story offers minimal room for sequels or episodic world-building around investigative 'uncovering.',35,"A contained period-piece biography could fit A24's budget, but the small-town setting requirement conflicts with Carnegie's multi-continent, large-scale industrial narrative.",70,"Carnegie is a well-known historical figure and his autobiography a recognized classic, though primarily in academic/business circles rather than general entertainment audiences."
twelfth-night-or-what-you-will__shakespeare-william__1734,A24,30.5,"Despite high name recognition and budget-friendly scale, Twelfth Night's fundamental genre (romantic comedy) and tonal DNA (witty, lighthearted) make it a poor fit for the mandate's dark noir thriller requirement.","A shipwrecked Viola disguises herself as a man and enters the court of Duke Orsino, where she becomes entangled in a love triangle—the Duke loves Olivia, Olivia falls for Viola in disguise, and Viola loves the Duke. A romantic comedy of mistaken identity and tangled affections in the fictional land of Illyria, with comic subplots involving schemes against a pompous steward.",15,Twelfth Night is a romantic comedy with no noir or thriller elements; it's fundamentally lighthearted despite emotional conflicts.,30,"The play has vivid court settings and costumes, but its plot relies heavily on verbal wit and comedy rather than dark visual atmosphere or suspenseful cinematography.",25,"Viola as a character might appeal to young cinephiles for her agency and gender-bending, but the play's romance-focused plot and lighthearted tone misalign with A24's core indie/arthouse sensibilities.",10,"A contained romantic comedy with resolved ending offers minimal sequel, prequel, or expanded-universe potential.",75,"Illyria is a fictional small court setting requiring modest sets and minimal location work, fitting A24's efficient $15-20M contained-film budget.",95,Twelfth Night is Shakespeare's most performed play globally and instantly recognizable to general and educated audiences alike.
amistad-funesta__marti-jose__1885,A24,18.75,"This title cannot be confidently evaluated against the mandate due to insufficient reliable information about its actual plot, genre, and narrative structure.","Not confidently recognized; ""Amistad Funesta"" by José Martí (1885) is not a work I can reliably summarize based on title alone, and without verified plot information, I cannot accurately assess its genre, themes, or adaptability.",25,"Without confirmed plot details, cannot assess whether this work contains noir thriller elements, though 1885 publication predates noir as a genre.",20,Insufficient knowledge of the book's narrative structure and tone to evaluate visual/cinematic potential or darkness of mood.,15,Cannot assess whether characters or themes would resonate with A24's 18-34 cinephile audience without knowing the actual story.,10,No confirmed plot details available to evaluate whether the narrative supports sequels or world-building expansion.,30,"Small-town setting suggests contained scope, but without knowing the story's scale and production requirements, cannot reliably score fit to A24's budget.",5,"José Martí is historically significant, but this specific 1885 title has negligible recognition among general audiences."
heidi__johanna-spyri__1880,A24,26.0,"Heidi is fundamentally misaligned with the dark noir thriller mandate; it's a beloved children's classic about innocence and pastoral virtue, not cynical investigation in corrupt small towns.","Heidi is a classic Swiss children's novel about a young orphan girl who lives in the Alpine mountains with her grandfather, featuring themes of innocence, nature, and personal growth rather than noir or thriller elements.",5,"Heidi is a wholesome coming-of-age children's story, fundamentally incompatible with noir thriller conventions.",45,"While the Alpine setting is visually striking, the gentle, pastoral tone and innocent narrative are the opposite of the dark mood required.",10,A24's core 18-34 cinephile audience expects sophisticated psychological depth; Heidi's earnest family drama and child protagonist don't align with noir insider themes.,15,"The story is a complete, self-contained coming-of-age arc with no intrigue or mystery to uncover across sequels.",60,"The Alpine mountain setting could be shot on a contained budget, though the story itself has no noir/thriller scaling demands.",75,"Heidi is a famous global classic with significant cultural recognition, though primarily known as children's literature."
the-lost-world__doyle-arthur-conan__1900,A24,45.75,"The Lost World is a visually adaptable classic adventure, but fundamentally misaligned with the noir-thriller mandate—it's spectacle-driven pulp rather than dark, introspective crime drama.","A reporter joins a scientist and two other men on an expedition to a remote South American plateau to document the discovery of living dinosaurs, facing danger, betrayal, and survival challenges in an isolated prehistoric world.",25,"Adventure/science fiction with mystery elements, but lacks the moral ambiguity, crime focus, and cynical atmosphere central to noir thriller conventions.",80,"Dinosaurs, jungle landscapes, survival action, and isolated plateau setting offer inherently cinematic and visually striking material.",35,"While the protagonist is an insider-reporter, the story prioritizes spectacle and adventure over character psychology or social themes that typically resonate with A24's cinephile audience.",45,"The plateau setting and creature discovery could support sequels, but the story is largely self-contained with limited room for escalating conspiracy or hidden-truth narratives.",50,"A small-town setting would fit A24 budgets, but dinosaurs and extensive Amazon/plateau production design likely push toward the upper range or beyond typical indie budget parameters.",70,"Conan Doyle is a famous author and The Lost World is a classic pulp-adventure title, though less iconic than Sherlock Holmes."
three-men-on-the-bummel__jerome-jerome-klapka__1900,A24,20.25,"A comedic Victorian travelogue is fundamentally misaligned with a dark noir thriller mandate; it scores poorly across genre, tone, character type, and narrative structure.","Three Men on the Bummel is a comedic travel novel by Jerome K. Jerome (1900), following three friends on a cycling tour through Germany; it's a humorous sequel to Three Men in a Boat, focused on leisure and friendship rather than crime or mystery.",5,"This is a light comedic travel novel with no noir thriller elements, mystery, or crime narrative.",20,"While travel scenes offer visual potential, the book's gentle, episodic humor lacks the dark tone and cinematic tension A24 would expect.",15,"The protagonist is a tourist/observer rather than an insider uncovering corruption, and the wholesome buddy-comedy tone doesn't align with A24's cinephile audience expectations.",10,The episodic structure has no arc of discovery or uncovering; it's a closed travelogue with minimal sequel or world-building opportunity.,60,"A small-town/rural European setting maps well to contained budget, though the book's leisurely pacing and lack of plot tension make budget efficiency irrelevant.",45,"Jerome K. Jerome is a recognizable Victorian author, and Three Men in a Boat is famous, but this sequel is much less known to general audiences."
the-letters-of-wolfgang-amadeus-mozart-volume-01__mozart-wolfgang-amadeus__unk,A24,15.75,"Mozart's letters are a historical document fundamentally misaligned with the noir thriller mandate, lacking fictional narrative structure, dramatic tension, or contemporary thematic relevance.","This is a collection of personal correspondence from composer Wolfgang Amadeus Mozart, consisting of letters written throughout his life—a historical document rather than a fictional narrative, with no plot, characters, or dramatic arc.",5,"A collection of personal letters is fundamentally non-fiction and biographical, not a noir thriller narrative.",15,"Letters lack inherent cinematic structure, visual drama, or narrative momentum despite the composer's fascinating life story.",10,A24's 18-34 cinephile audience expects character-driven narratives with contemporary themes; 18th-century correspondence doesn't provide insider protagonist dynamics or thematic resonance.,5,"A historical letter collection offers no world-building, mystery-uncovering, or sequel potential inherent to its structure.",40,"While period drama with a small-town setting could fit A24's budget, the source material provides no clear contained narrative structure to work with.",70,"Wolfgang Amadeus Mozart is one of history's most famous composers, though this particular letter collection is not widely known to general audiences."
the-exploits-of-brigadier-gerard__doyle-arthur-conan__1896,A24,35.5,"This early Doyle adventure collection is tonally misaligned with the noir thriller mandate, lacking the dark psychological depth A24 typically seeks.","A collection of episodic military adventure stories following the adventures and exploits of Brigadier Gerard, a French cavalry officer during the Napoleonic Wars, written by Arthur Conan Doyle. These are comedic, swashbuckling tales rather than noir thrillers, focused on Gerard's romantic escapades and military misadventures across Europe.",5,"This is a comedic Napoleonic adventure series, fundamentally incompatible with noir thriller conventions.",45,"While visually rich period settings and action sequences exist, the tone is lighthearted and satirical rather than dark.",20,A24's 18-34 cinephile audience expects contemporary or psychologically complex material; 19th-century comedic military tales don't align with this demographic.,55,"The episodic collection format and recurring protagonist enable multiple adaptations, though 'uncovering' isn't the narrative driver here.",60,Period military settings in small towns and countryside are feasible for mid-budget A24 productions without massive spectacle demands.,35,Doyle is famous but for Sherlock Holmes; these Gerard stories are obscure to general audiences despite period classic status.
unknown__franko-ivan__1905,A24,0.25,"Without confident knowledge of this Ukrainian-language work's plot and themes, no meaningful assessment against the A24 noir-thriller mandate is possible.","Not confidently recognized. ""Мойсей"" (transliterated as ""Moysey"") by Ivan Franko (1905) is a Ukrainian-language work, but I cannot reliably confirm its specific plot, genre, or themes without risking fabrication.",0,Cannot assess genre fit against noir thriller mandate without confirmed knowledge of the book's actual genre.,0,Cannot assess visual/cinematicadaptability or dark tone alignment without confirmed plot and style knowledge.,0,Cannot assess character/theme resonance with A24's 18-34 cinephile audience without knowing the book's actual content.,0,Cannot assess sequel/world-building potential filtered through an 'uncovers' action without confirmed narrative knowledge.,0,Cannot assess production scale implications without knowing the book's setting scope and narrative scope.,5,"Ivan Franko is a significant Ukrainian author, but this specific title has minimal recognition among general English-language audiences."
with-her-in-ourland__gilman-charlotte-perkins__1916,A24,14.5,"This title cannot be confidently matched to any known work, making it impossible to assess its fit against the A24 noir thriller mandate; the author attribution may be erroneous.","Not confidently recognized—""With her in Ourland"" by Charlotte Perkins Gilman does not match any widely-known work in Gilman's documented bibliography; while Gilman was known for feminist utopian fiction (The Yellow Wallpaper, Herland), this specific title does not appear to be an established work.",15,"Without confirmed knowledge of the actual book, cannot assess genre fit against noir thriller mandate.",15,"Without confirmed knowledge of the actual book's tone and visual elements, cannot assess adaptability to dark aesthetic.",15,"Without confirmed knowledge of the actual book's characters and themes, cannot assess resonance with A24's cinephile audience through an insider protagonist.",15,"Without confirmed knowledge of the actual book's narrative structure and world-building, cannot assess sequel/revelation potential.",15,"Without confirmed knowledge of the actual book's setting scope, cannot assess budgetary implications.",5,This title is not part of Gilman's canonical works recognized by general audiences; extremely low name recognition.
satanism-and-witchcraft__michelet-jules__unk,A24,17.25,"A 19th-century historical essay on witchcraft is fundamentally misaligned with A24's mandate for a dark noir thriller—it lacks the narrative, character agency, and genre foundation required.","Jules Michelet's ""Satanism and Witchcraft"" is a 19th-century historical/philosophical work examining the history of witchcraft, persecution, and demonology in medieval and early modern Europe, blending historical analysis with romantic interpretation rather than being a fictional narrative or noir thriller.",5,"This is a historical essay/analysis, not fiction or noir thriller material.",15,"While the subject matter (witchcraft, dark themes) is visually suggestive, the book is primarily scholarly prose without narrative structure or cinematic momentum.",20,The 'insider' character archetype doesn't apply to a non-fiction historical work; academic tone alienates A24's 18-34 cinephile demographic seeking narrative-driven character studies.,10,No serializable world-building or investigation-driven plot to fuel sequels or spin-offs.,40,"Small-town period settings can work at A24's budget range, but the non-narrative source material provides no clear scaling guidance.",45,"Michelet is recognized in literary/historical circles, but this specific title is obscure outside academic witchcraft studies."
the-second-jungle-book__kipling-rudyard__1887,A24,37.75,The Second Jungle Book is fundamentally misaligned with a dark noir thriller mandate—it's a classic adventure fantasy collection that shares no genre DNA with the target profile.,"The Second Jungle Book is Kipling's 1887 collection of short stories featuring Mowgli and other characters in the Indian jungle, emphasizing adventure, animal life, and coming-of-age themes with an exotic colonial setting—a far cry from noir thriller territory.",5,"The book is a collection of adventure/fantasy tales set in the jungle, not a noir thriller with crime or mystery elements.",70,"Jungle settings and animal characters are highly visual and cinematic, though the actual tone is whimsical and exotic rather than dark noir.",25,"The outsider/insider archetype works (Mowgli as an outsider to human society), but the themes are adventure and nature-discovery rather than the sophisticated psychological drama A24's audience expects.",35,"Multiple stories and characters provide some world-building, but the episodic structure and adventure-tale nature don't naturally lead to mystery-uncovering or sequel expansion.",65,"A small-town jungle community could fit a contained budget, but the exotic jungle location and animal effects would likely push toward the higher end of A24's range.",75,"Kipling's The Jungle Book is a cultural classic, though this specific sequel is less well-known than the original."
r-u-r-and-the-insect-play__capek-karel__1920,A24,31.5,"R.U.R. and The Insect Play are philosophically rich works that fundamentally mismatch the noir thriller mandate—they're sci-fi allegories, not insider crime dramas.","R.U.R. (Rossum's Universal Robots) is a 1920 Czech science fiction play about artificial humanoid robots rebelling against their human creators, while The Insect Play is a satirical allegorical work featuring insect characters representing human society. Neither is a noir thriller—these are philosophical sci-fi and absurdist/satirical works exploring technology, society, and the human condition.",5,"These are sci-fi/philosophical plays with satirical elements, fundamentally incompatible with noir thriller genre conventions.",55,"Strong surreal and theatrical visual potential exists, but the tone is philosophical/absurdist rather than dark noir.",30,"A24's core audience might appreciate the intellectual/subversive elements, but there's no insider protagonist uncovering corruption as the mandate requires.",25,Limited sequel potential beyond exploring the robot/insect allegories; not structured around investigation or uncovering that could expand.,60,"Small-town setting aligns with budget constraints, but the sci-fi elements (robots, insect world) could push production costs up.",45,"Čapek is known in literary/academic circles and R.U.R. is historically significant, but not mainstream recognition among general audiences."
zur-geschichte-der-proletarischen-frauenbewegung-deutschlands__zetkin-clara__unk,A24,7.2,"This non-fiction historical essay is fundamentally mismatched to a noir thriller mandate and lacks the narrative, character, and plot elements necessary for film adaptation.","Not confidently recognized as a narrative work suitable for adaptation. This is a historical non-fiction essay/treatise by Clara Zetkin on the history of the German proletarian women's movement—a Marxist historical and political analysis, not a fictional story with plot or characters.",2,"This is non-fiction political history/theory, not a noir thriller.",5,"A dense historical essay lacks narrative structure, characters, or visual drama inherent to the source material.",8,"The subject matter (women's labor activism) may thematically resonate with A24's audience, but the essay format offers no insider-protagonist or dramatic tension.",3,Historical analysis has no plot to uncover in sequels or world-building expansions.,15,Small-town setting is absent; adapting this would require inventing a fictional frame story around archival material.,35,"Clara Zetkin is historically significant among scholars, but this specific essay is obscure to general audiences."
ulrich-von-hutten__strauss-david__1858,A24,11.95,"This 19th-century historical work is fundamentally incompatible with A24's mandate for a dark noir thriller, lacking genre fit, visual adaptability, and audience resonance.","Not confidently recognized—this appears to be a 19th-century biographical or historical work about the Renaissance humanist Ulrich von Hutten, not a noir thriller, and the author attribution may be unreliable.",5,Historical/biographical works have virtually no overlap with noir thriller conventions.,15,"A 19th-century historical biography lacks the dark, cinematic visual language required for modern noir.",8,A dense historical work about a Renaissance figure has minimal appeal to A24's 18-34 cinephile urban audience.,10,Historical biography offers no world-building or sequel potential through an 'uncovers' narrative arc.,25,"Small-town setting helps, but adapting a historical biography would require expensive period production design outside A24's typical range.",20,Ulrich von Hutten is historically significant but obscure to general audiences; most people are unfamiliar with this figure.
faust__goethe-johann-wolfgang-von__1800,A24,36.25,"Faust's legendary status and visual potential are undermined by its fundamental mismatch with noir-thriller genre expectations, investigative protagonist dynamics, and A24's contemporary sensibility.","Goethe's Faust is a classic German tragedy about a learned scholar who makes a bargain with the devil (Mephistopheles) to gain unlimited knowledge and experience, exploring themes of ambition, desire, redemption, and the human condition across a sprawling philosophical narrative.",15,"Faust is philosophical tragedy and allegory, not a noir thriller with detective/investigation elements.",70,"The Faustian bargain, supernatural elements, and moral descent offer rich visual and dramatic potential despite the philosophical nature.",25,A24's 18-34 cinephile audience gravitates toward contemporary or modernist works; Faust's 19th-century philosophical framework and dated moral codes feel less aligned with insider-protagonist narratives they favor.,20,"While Faust has inspired many adaptations, the story is a self-contained spiritual arc about one man's damnation, not an investigative uncovering with sequel-building momentum.",60,"A small-town or localized European setting is inherently contained, but Faust's scope spans cosmic/supernatural realms requiring significant design and effects work.",85,Faust is one of the most canonical works in Western literature; the name and basic premise are widely recognized even outside academic circles.
rilla-of-ingleside__montgomery-lucy-maud__1920,A24,26.75,"Rilla of Ingleside is fundamentally misaligned with the noir thriller mandate—it's a genteel WWI domestic drama that lacks the genre, tone, mystery-uncovering, and audience appeal A24 would require.","Rilla of Ingleside is a 1920 coming-of-age novel set during WWI where young Rilla Blythe and her generation must navigate the chaos of war, personal moral struggles, and family upheaval as those closest to her enlist and face danger. It's primarily a domestic literary drama centered on a young woman's maturation during wartime, rather than a noir thriller.",5,"This is a WWI domestic drama with romantic and coming-of-age elements, not a noir thriller at all.",45,"The period setting and emotional arcs are visually adaptable, but the tone is literary and introspective rather than dark or noir.",25,"While Rilla is an insider to her family/generation, the genteel Canadian literary tradition and romantic focus doesn't align with A24's cinephile 18-34 urban audience expectations.",10,"This is the fourth book in the Anne of Green Gables series, but the story itself doesn't center on uncovering mysteries or building a thriller world; it's a closed narrative.",60,"A WWI small-town period drama would likely require mid-range period film budgets, fitting the $15-50M range reasonably.",70,Lucy Maud Montgomery is famous for Anne of Green Gables; Rilla of Ingleside is the lesser-known fourth installment but still recognized in literary circles.
the-ninth-night__dyk-viktor__1918,A24,23.25,"Without confident knowledge of this 1918 Czech work's actual content, it cannot be reliably scored against the noir thriller mandate; the low name recognition and unverified genre make it a poor fit for A24's development slate.","Not confidently recognized. ""The Ninth Night"" by Viktor Dyk (1918) — while Dyk was a notable Czech author and politician, I cannot reliably confirm the specific plot, genre, or themes of this particular work without risking invention.",25,"Without confirmed knowledge of the book's actual genre, cannot assess fit to noir thriller mandate.",25,"Cannot evaluate the book's tone, style, or cinematic adaptability without reliable plot/thematic knowledge.",20,Unknown character types and themes prevent assessment against A24's 18-34 cinephile audience filtered through an 'insider' character.,20,Cannot determine sequel or world-building potential without understanding the narrative or its scope.,30,"Early 20th-century Czech literature often suggests contained, intimate storytelling compatible with A24's budget range, but setting details are unknown.",15,Viktor Dyk is historically significant in Czech literature but remains obscure to general English-language audiences; this specific title is not widely recognized.
lyrical-songs-idylls-and-epigrams__runeberg-johan-ludvig__unk,A24,6.9,"This is a poetry collection, not a narrative work—fundamentally misaligned with the noir thriller mandate and unsuitable for adaptation into any conventional film structure.","Not confidently recognized. ""Lyrical Songs, Idylls and Epigrams"" by Johan Ludvig Runeberg (Finnish/Swedish Romantic poet, 1804-1877) appears to be a poetry collection rather than a narrative work—likely containing lyric verse, classical idylls, and epigrammatic pieces typical of 19th-century Romantic literature, not a thriller or narrative prose suitable for film adaptation.",5,Poetry collections are fundamentally incompatible with noir thriller narrative structure.,8,"While poetry can have dark, atmospheric qualities, this collection lacks the plot-driven structure and cinematic momentum required for thriller adaptation.",3,19th-century Romantic poetry holds minimal appeal to A24's core 18-34 demographic expecting character-driven contemporary narratives.,2,A lyric poetry collection offers no sequel-building potential or world to expand through an investigative/uncovering narrative arc.,15,"While small-scale production might theoretically suit poetry, the genre itself doesn't generate the narrative scope or commercial viability A24 seeks.",25,Runeberg is historically significant in Scandinavian literature but virtually unknown to contemporary general audiences outside academic circles.
thomas-more-and-his-utopia__kautsky-karl__1927,A24,7.95,"This academic political treatise is fundamentally incompatible with the noir thriller mandate—it offers no narrative, character, or visual material suitable for A24's mandate.","This is a biographical/critical study of Thomas More and his utopian philosophy by Marxist scholar Karl Kautsky (1927), not a noir thriller novel. It examines More's life, political thought, and the ideological underpinnings of his fictional Utopia, filtered through a Marxist analytical lens.",5,"This is political/biographical scholarship, not noir thriller material.",10,A dense theoretical essay about Renaissance philosophy offers minimal visual narrative or dark cinematic potential.,8,Academic political theory has niche intellectual appeal but lacks the character-driven insider narrative that resonates with A24's core 18-34 audience.,2,A historical-critical work about a 500-year-old book offers no discovery/uncovering arc or sequel/world-building potential.,15,"While a small-town setting could work at A24 budgets, this source material is non-narrative scholarship with no inherent production scale.",25,"Thomas More is historically famous, but this specific 1927 Kautsky monograph is obscure outside academic circles; general audiences won't recognize it."
hunger-pastor__raabe-wilhelm__unk,A24,29.25,"Poor fit overall; an obscure 19th-century realist novel lacks the dark noir thriller tone, contemporary character dynamics, and franchise-building potential the mandate requires.","Not confidently recognized. ""Hunger Pastor"" by Wilhelm Raabe is a 19th-century German novel, but I cannot reliably summarize its specific plot, genre classification, or thematic content without risking inaccuracy.",25,"Without confirmed plot/genre details, I cannot assess alignment with noir thriller; Raabe was a realist, not typically associated with noir.",40,19th-century German literary realism may lack the visual intensity and darkness required for contemporary noir cinema.,20,An obscure 19th-century work is unlikely to feature modern insider characters that resonate with A24's 18-34 cinephile audience.,15,A standalone 19th-century novel offers limited sequel or expanded-universe potential around an 'uncovers' narrative.,60,"Small-town 19th-century German settings would be period-specific and modest in scope, fitting lower to mid-range A24 budgets.",25,"Wilhelm Raabe is a recognized 19th-century author in German literary circles, but this specific title is obscure to general audiences."
clelia-ovvero-il-governo-dei-preti__garibaldi-giuseppe__unk,A24,12.0,"This title cannot be confidently matched to a narrative synopsis, so scoring is necessarily speculative and reflects primarily the mismatch between Garibaldi's known historical role and the noir-thriller mandate.","Not confidently recognized. ""Clelia, ovvero, Il governo dei preti"" appears to be an Italian-language work by Giuseppe Garibaldi (1807-1882), the Italian military and political figure, but I cannot reliably identify this as a published novel/thriller rather than a political essay or pamphlet, nor verify its plot and themes with confidence.",15,"Without confirmed plot details, cannot assess noir thriller alignment; Garibaldi was a political/military figure, not known as a thriller novelist.",10,Cannot assess cinematic tone/mood without confirmed narrative content; title suggests political polemic rather than visual drama.,5,Unknown plot structure and character development make it impossible to evaluate appeal to A24's 18-34 cinephile demographic via an 'insider' archetype.,5,No confirmed plot means cannot assess world-building or sequel potential around an 'uncovering' narrative.,20,"If small-town Italian setting, likely contained scope, but without knowing actual story scope or production demands, scoring remains speculative.",35,"Garibaldi is historically famous, but this specific title is obscure and not widely known outside Italian literature/history circles."
